pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_08::distortion::drv4,1.000000,0.999221,0.997973,1.000000,1.000000,0.745973,1.000000,1.000000,0.939482,0.714286,0.722172,0.993953,0.924548,0.937885
folk_08::distortion::drv12,1.000000,0.995134,0.991679,1.000000,1.000000,0.678598,0.987256,0.938571,0.857749,0.714286,0.422553,0.984861,0.875937,0.910483
folk_08::distortion::drv32,1.000000,0.992294,0.987721,1.000000,0.000000,0.529276,0.977539,0.480356,0.820256,0.785714,0.318066,0.987528,0.733164,0.749319
folk_08::style_swap::swap_same,0.833333,0.864788,0.733184,0.506619,0.888889,0.543366,0.987506,0.934789,0.275567,0.142857,0.425076,0.985434,0.646941,0.635375
folk_08::style_swap::swap_cross,0.666667,0.824037,0.781285,0.018140,0.111111,0.379954,0.668930,0.304787,0.309320,0.071429,0.305028,0.971291,0.392822,0.343944
folk_09::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_09::pitch_shift::-4st,0.333333,0.851545,0.780245,1.000000,1.000000,0.872323,1.000000,1.000000,0.620383,0.250000,0.630355,0.991850,0.757403,0.746716
folk_09::pitch_shift::-2st,0.666667,0.935933,0.872904,1.000000,1.000000,0.838386,1.000000,1.000000,0.753445,0.250000,0.862068,0.997392,0.836740,0.818160
folk_09::pitch_shift::-1st,0.166667,0.947553,0.884854,1.000000,1.000000,0.917967,1.000000,1.000000,0.643846,0.000000,0.949366,0.999262,0.779308,0.740312
folk_09::pitch_shift::+1st,0.166667,0.946732,0.873137,1.000000,1.000000,1.000000,1.000000,1.000000,0.735177,0.000000,0.933201,0.998600,0.793173,0.758636
folk_09::pitch_shift::+2st,0.666667,0.934969,0.864744,1.000000,1.000000,1.000000,1.000000,1.000000,0.661733,0.000000,0.841028,0.995544,0.816669,0.796375
