key,id,ref,est,degraded_metrics,dim_target,genre,harmony_tonality.chroma_similarity.chroma_dtw_cosine,harmony_tonality.chroma_similarity.mean_chroma_cosine,harmony_tonality.key_relatedness.distance_norm_0to1,magnitude,melodic_content.contour_dtw_similarity,melodic_content.motif_3gram_recall,perturbation,rhythm_meter.beat_mir_eval.F-measure,rhythm_meter.beat_mir_eval.Information gain,rhythm_meter.delta_bpm_folded,source_id,structural_form.ari,structural_form.pairwise_f,timbre_texture.mean_mfcc_cosine,timbre_texture.mfcc_skl_similarity
s21::cand02,s21::cand02,results/rerank_ace/audio/s21__A.wav,results/rerank_ace/audio/s21_cand02__B.wav,,rerank,s21,0.7508562083392506,0.9143208425614102,0.0,2.0,0.6116818437957898,0.25,ace_inpaint_candidate,0.0,0.0,5.593039772727266,s21,0.0,0.8992537313432836,0.9964656508456047,0.5214298157051893
s21::cand04,s21::cand04,results/rerank_ace/audio/s21__A.wav,results/rerank_ace/audio/s21_cand04__B.wav,,rerank,s21,0.9015919293483551,0.9616484476060148,0.0,4.0,0.6359265747953913,0.25,ace_inpaint_candidate,1.0,0.0,0.0,s21,0.8015117564093954,0.9577151335311572,0.9920315555517302,0.5097444731959997
s21::cand03,s21::cand03,results/rerank_ace/audio/s21__A.wav,results/rerank_ace/audio/s21_cand03__B.wav,,rerank,s21,0.7877530865490999,0.9381762078408701,0.0,3.0,0.598395912070042,0.25,ace_inpaint_candidate,1.0,0.0,5.593039772727266,s21,0.8015117564093954,0.9577151335311572,0.9888017949828065,0.5373239887138972
s21::cand05,s21::cand05,results/rerank_ace/audio/s21__A.wav,results/rerank_ace/audio/s21_cand05__B.wav,,rerank,s21,0.8476338966052308,0.9604341029716008,0.0,5.0,0.563293891429703,0.25,ace_inpaint_candidate,0.0,0.0,7.497053312379123,s21,0.0,0.8992537313432836,0.995421295835225,0.4616347884889016
s21::cand06,s21::cand06,results/rerank_ace/audio/s21__A.wav,results/rerank_ace/audio/s21_cand06__B.wav,,rerank,s21,0.8489988457710517,0.9511050564202559,0.0,6.0,0.6100114905691885,0.25,ace_inpaint_candidate,1.0,0.0,0.0,s21,0.8015117564093954,0.9577151335311572,0.9734208386113468,0.4648259063055257
s21::cand07,s21::cand07,results/rerank_ace/audio/s21__A.wav,results/rerank_ace/audio/s21_cand07__B.wav,,rerank,s21,0.8531124067735916,0.9676575136509348,0.0,7.0,0.6381068147919912,0.25,ace_inpaint_candidate,0.0,0.0,0.0,s21,0.0,0.8992537313432836,0.9884028287653358,0.5150363038189919
s22::cand00,s22::cand00,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand00__B.wav,,rerank,s22,0.9474776720481475,0.9908403378681541,0.6666666666666666,0.0,0.634226467077426,0.3,ace_inpaint_candidate,0.0,0.0,32.63980263157896,s22,0.6574182660679043,0.9408033826638479,0.9887159047354318,0.5643760490297088
s22::cand01,s22::cand01,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand01__B.wav,,rerank,s22,0.9215612816731007,0.962317936698977,0.6666666666666666,1.0,0.6185593728244976,0.3,ace_inpaint_candidate,0.0,0.0,32.63980263157896,s22,0.7803975168146415,0.9591104734576756,0.9843661027023429,0.3600078330949697
s22::cand03,s22::cand03,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand03__B.wav,,rerank,s22,0.9067834475992989,0.9584381914555258,0.6666666666666666,3.0,0.5614257763048631,0.1,ace_inpaint_candidate,0.0,0.0,32.63980263157896,s22,0.7803975168146415,0.9591104734576756,0.9524354267498442,0.3187291561793704
s22::cand04,s22::cand04,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand04__B.wav,,rerank,s22,0.935727853308516,0.9861356323410747,0.6666666666666666,4.0,0.6237526899246734,0.4,ace_inpaint_candidate,1.0,1.0,7.555509868421041,s22,0.7803975168146415,0.9591104734576756,0.9865880121966044,0.44546883796413056
s22::cand02,s22::cand02,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand02__B.wav,,rerank,s22,0.9432639559003643,0.9711687326695082,0.6666666666666666,2.0,0.6056520670949505,0.3,ace_inpaint_candidate,0.0,0.0,32.63980263157896,s22,0.6574182660679043,0.9408033826638479,0.984272436443133,0.4770910080865979
s22::cand05,s22::cand05,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand05__B.wav,,rerank,s22,0.9124206227149625,0.9082314058681162,0.6666666666666666,5.0,0.5449103569429383,0.1,ace_inpaint_candidate,0.0,0.0,32.63980263157896,s22,0.0,0.882928368570527,0.9949546067917772,0.4951277853891422
s22::cand06,s22::cand06,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand06__B.wav,,rerank,s22,0.9380016736371314,0.9765563672423037,0.8333333333333334,6.0,0.5955882187949366,0.3,ace_inpaint_candidate,0.4,0.7041629275170908,28.33316200657896,s22,0.6574182660679043,0.9408033826638479,0.9897854308063204,0.5035583938416933
s22::cand07,s22::cand07,results/rerank_ace/audio/s22__A.wav,results/rerank_ace/audio/s22_cand07__B.wav,,rerank,s22,0.961356725237804,0.9890920753194095,0.6666666666666666,7.0,0.670769788291413,0.6,ace_inpaint_candidate,0.0,0.0,32.63980263157896,s22,0.6574182660679043,0.9408033826638479,0.9923213039679668,0.503659215095799
s23::cand00,s23::cand00,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand00__B.wav,,rerank,s23,0.9482412666782596,0.9658128198241015,0.0,0.0,0.6525999663866542,0.0,ace_inpaint_candidate,1.0,1.0,0.0,s23,1.0,1.0,0.9908488870204315,0.4641601795490368
s23::cand01,s23::cand01,results/rerank_ace/audio/s23__A.wav,results/rerank_ace/audio/s23_cand01__B.wav,,rerank,s23,0.9581901347891291,0.9785744019202488,0.0,1.0,0.6673231173480563,0.0,ace_inpaint_candidate,0.5,0.0,0.0,s23,0.6155305275637225,0.9537223340040241,0.9935352774757734,0.4692790239036873
