pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
classical_03::distortion::drv12,classical_03,classical,distortion,12.0,0.999997,0.820762,0.992396,0.807928,0.8941085886928881,0.8986274025342781
classical_03::distortion::drv32,classical_03,classical,distortion,32.0,0.999737,0.639981,0.892109,0.721117,0.7879319935215022,0.8003913536171747
classical_03::style_swap::swap_cross,classical_03,classical,style_swap,nan,0.876702,0.363711,0.767462,0.589374,0.5943565183354439,0.6292473208075877
classical_03::style_swap::swap_same,classical_03,classical,style_swap,nan,0.791802,0.405002,0.900865,0.664596,0.6407767822067749,0.6714993129360937
classical_04::control::ctrl,classical_04,classical,control,0.0,1.0,1.0,1.0,0.770551,0.9392134955802182,0.9447943887567573
classical_04::pitch_shift::-4st,classical_04,classical,pitch_shift,-4.0,0.902721,0.521585,0.984788,0.643491,0.7212212087483741,0.7460278662592269
classical_04::pitch_shift::-2st,classical_04,classical,pitch_shift,-2.0,0.902272,0.678855,0.987639,0.719199,0.8017184914164724,0.811646312140272
classical_04::pitch_shift::-1st,classical_04,classical,pitch_shift,-1.0,0.881021,0.787717,0.98896,0.77639,0.8492446667832857,0.853297022987694
classical_04::pitch_shift::+1st,classical_04,classical,pitch_shift,1.0,0.878067,0.802675,0.986214,0.744842,0.8443387747083175,0.8488465306172577
classical_04::pitch_shift::+2st,classical_04,classical,pitch_shift,2.0,0.905087,0.681803,0.982374,0.791483,0.8210221877203571,0.829325943209794
classical_04::pitch_shift::+4st,classical_04,classical,pitch_shift,4.0,0.908763,0.550489,0.974613,0.721649,0.7527100112340904,0.7724379908706186
classical_04::time_stretch::-20pct,classical_04,classical,time_stretch,-20.0,0.998906,0.885519,0.682633,0.767258,0.8273938747832617,0.8354506555851643
classical_04::time_stretch::-10pct,classical_04,classical,time_stretch,-10.0,0.999131,0.906359,0.74433,0.772562,0.851627643930392,0.8574107567341394
classical_04::time_stretch::-5pct,classical_04,classical,time_stretch,-5.0,0.999511,0.907233,0.799437,0.776949,0.8674741512320443,0.8716983056934334
classical_04::time_stretch::+5pct,classical_04,classical,time_stretch,5.0,0.999458,0.88612,0.663581,0.784653,0.8266521473182398,0.8354858558273317
classical_04::time_stretch::+10pct,classical_04,classical,time_stretch,10.0,0.998985,0.880722,0.671884,0.792519,0.8294508478365544,0.8376044613300809
classical_04::time_stretch::+20pct,classical_04,classical,time_stretch,20.0,0.998412,0.871281,0.675436,0.753843,0.8178005154869064,0.8261872646087433
classical_04::lowpass::lp8000,classical_04,classical,lowpass,8000.0,0.999962,0.494824,0.956801,0.78058,0.7561845052874374,0.7866446649806376
classical_04::lowpass::lp4000,classical_04,classical,lowpass,4000.0,0.999988,0.451422,0.946613,0.694652,0.7136465675379473,0.7506679414760462
classical_04::lowpass::lp2000,classical_04,classical,lowpass,2000.0,0.999784,0.424381,0.776986,0.695091,0.669093836931086,0.7030112608490215
classical_04::distortion::drv4,classical_04,classical,distortion,4.0,0.998683,0.915623,0.998689,0.760515,0.9114423549210108,0.9166437858270384
classical_04::distortion::drv12,classical_04,classical,distortion,12.0,0.999733,0.727059,0.99052,0.740661,0.8441291152802914,0.8540371916306323
classical_04::distortion::drv32,classical_04,classical,distortion,32.0,0.997847,0.596923,0.933518,0.657715,0.7625772435935116,0.7815649532788761
classical_04::style_swap::swap_cross,classical_04,classical,style_swap,nan,0.718854,0.437217,0.680685,0.598123,0.5855652968083652,0.597003226369855
classical_04::style_swap::swap_same,classical_04,classical,style_swap,nan,0.865958,0.423247,0.690669,0.636853,0.616346779342131,0.6379991845605837
classical_05::control::ctrl,classical_05,classical,control,0.0,1.0,1.0,1.0,0.863103,0.9651984530445069,0.9670624733061979
classical_05::pitch_shift::-4st,classical_05,classical,pitch_shift,-4.0,0.82643,0.543608,0.986932,0.696754,0.7298175031449089,0.7485276378856199
classical_05::pitch_shift::-2st,classical_05,classical,pitch_shift,-2.0,0.931116,0.681547,0.991416,0.812404,0.833234560356892,0.8423257455992592
classical_05::pitch_shift::-1st,classical_05,classical,pitch_shift,-1.0,0.780394,0.78534,0.993429,0.655161,0.7931648561956492,0.8015479902970584
classical_05::pitch_shift::+1st,classical_05,classical,pitch_shift,1.0,0.780385,0.799396,0.991523,0.781985,0.8316719915490497,0.8358004370927011
classical_05::pitch_shift::+2st,classical_05,classical,pitch_shift,2.0,0.917132,0.678307,0.986772,0.756069,0.8140818075114207,0.8235357662168197
classical_05::pitch_shift::+4st,classical_05,classical,pitch_shift,4.0,0.81583,0.558801,0.972734,0.606838,0.7072836278760667,0.7256846141795372
classical_05::time_stretch::-20pct,classical_05,classical,time_stretch,-20.0,0.994855,0.83655,0.518477,0.848184,0.7807255692819949,0.8010316048110582
classical_05::time_stretch::-10pct,classical_05,classical,time_stretch,-10.0,0.997507,0.893827,0.612752,0.847492,0.8283373886048454,0.8405710428822395
classical_05::time_stretch::-5pct,classical_05,classical,time_stretch,-5.0,0.998375,0.920109,0.69714,0.86115,0.8645983885313384,0.8716139624480724
classical_05::time_stretch::+5pct,classical_05,classical,time_stretch,5.0,0.997909,0.917585,0.699425,0.870052,0.8666023504711015,0.873432232539795
classical_05::time_stretch::+10pct,classical_05,classical,time_stretch,10.0,0.99704,0.901905,0.634037,0.846979,0.8370066474626848,0.847723956127927
classical_05::time_stretch::+20pct,classical_05,classical,time_stretch,20.0,0.995403,0.882352,0.540177,0.863696,0.8044605714720576,0.8236034405859858
classical_05::lowpass::lp8000,classical_05,classical,lowpass,8000.0,0.999994,0.555207,0.997365,0.864897,0.8099491807938447,0.8344068837115654
classical_05::lowpass::lp4000,classical_05,classical,lowpass,4000.0,0.999994,0.424309,0.988053,0.801758,0.7324984944475591,0.778053765551283
classical_05::lowpass::lp2000,classical_05,classical,lowpass,2000.0,0.999981,0.420024,0.975184,0.811394,0.7301459103381605,0.7760840149469128
classical_05::distortion::drv4,classical_05,classical,distortion,4.0,0.999044,0.611597,0.988815,0.759743,0.8062243248974242,0.8236854680027378
classical_05::distortion::drv12,classical_05,classical,distortion,12.0,0.995044,0.453771,0.9635,0.639261,0.7027109958132597,0.7408629312228358
classical_05::distortion::drv32,classical_05,classical,distortion,32.0,0.992742,0.462087,0.937098,0.596926,0.6901053710684769,0.7264561553412153
classical_05::style_swap::swap_cross,classical_05,classical,style_swap,nan,0.834885,0.443612,0.69714,0.592101,0.6104113200082846,0.6277330297581072
classical_05::style_swap::swap_same,classical_05,classical,style_swap,nan,0.942535,0.470888,0.630491,0.628517,0.6329493317731013,0.6535520046851818
classical_06::control::ctrl,classical_06,classical,control,0.0,1.0,1.0,1.0,0.683052,0.9123667407761694,0.9237420600119274
classical_06::pitch_shift::-4st,classical_06,classical,pitch_shift,-4.0,0.734047,0.709554,0.989257,0.669314,0.7620572110594107,0.7708511288299507
classical_06::pitch_shift::-2st,classical_06,classical,pitch_shift,-2.0,0.82535,0.804681,0.991395,0.685565,0.8176775660269372,0.8243867607710876
classical_06::pitch_shift::-1st,classical_06,classical,pitch_shift,-1.0,0.741674,0.851268,0.992159,0.715078,0.8199181275126726,0.8264833554229184
classical_06::pitch_shift::+1st,classical_06,classical,pitch_shift,1.0,0.777363,0.86608,0.943706,0.738644,0.8297630454167207,0.8333637042976423
classical_06::pitch_shift::+2st,classical_06,classical,pitch_shift,2.0,0.852149,0.794743,0.965252,0.662846,0.8089099756173851,0.8159515884008856
classical_06::pitch_shift::+4st,classical_06,classical,pitch_shift,4.0,0.760496,0.657445,0.96341,0.723759,0.7605126951551338,0.7684116644652195
classical_06::time_stretch::-20pct,classical_06,classical,time_stretch,-20.0,0.988067,0.687602,0.834439,0.652644,0.7716123027828963,0.781956972520998
classical_06::time_stretch::-10pct,classical_06,classical,time_stretch,-10.0,0.99393,0.845693,0.902673,0.689541,0.8481634017390918,0.8552074972812109
classical_06::time_stretch::-5pct,classical_06,classical,time_stretch,-5.0,0.997987,0.87953,0.930268,0.724054,0.8752213741979717,0.88096509955718
classical_06::time_stretch::+5pct,classical_06,classical,time_stretch,5.0,0.997436,0.871008,0.929823,0.695743,0.8641470229149956,0.8713858566797049
classical_06::time_stretch::+10pct,classical_06,classical,time_stretch,10.0,0.986519,0.892624,0.883941,0.689626,0.8562653471992449,0.8631372667306441
classical_06::time_stretch::+20pct,classical_06,classical,time_stretch,20.0,0.985704,0.848804,0.887923,0.667647,0.8376986611038005,0.845543938991226
classical_06::lowpass::lp8000,classical_06,classical,lowpass,8000.0,0.999344,0.847287,0.999466,0.695906,0.8720958331968931,0.8810789776069197
classical_06::lowpass::lp4000,classical_06,classical,lowpass,4000.0,0.998589,0.628359,0.997548,0.649627,0.7842227642670025,0.8041219189941338
classical_06::lowpass::lp2000,classical_06,classical,lowpass,2000.0,0.99923,0.529815,0.993118,0.605904,0.7323294340886061,0.763363588670733
classical_06::distortion::drv4,classical_06,classical,distortion,4.0,0.999532,0.849352,0.985212,0.68082,0.8652645445578897,0.8747742086966648
classical_06::distortion::drv12,classical_06,classical,distortion,12.0,0.994831,0.648839,0.949694,0.540312,0.7481179302099497,0.7718748806363585
classical_06::distortion::drv32,classical_06,classical,distortion,32.0,0.989607,0.587683,0.942812,0.44367,0.6907397856643569,0.7276101060366765
classical_06::style_swap::swap_cross,classical_06,classical,style_swap,nan,0.860518,0.472724,0.758398,0.549085,0.6273448312041043,0.6462150362681219
classical_06::style_swap::swap_same,classical_06,classical,style_swap,nan,0.818979,0.522514,0.856778,0.706083,0.6985994075475489,0.7123601434520406
classical_07::control::ctrl,classical_07,classical,control,0.0,1.0,1.0,1.0,0.726878,0.9261205755651041,0.9342866303449702
classical_07::pitch_shift::-4st,classical_07,classical,pitch_shift,-4.0,0.757308,0.54715,0.992228,0.634361,0.7017063894553577,0.720066188156683
classical_07::pitch_shift::-2st,classical_07,classical,pitch_shift,-2.0,0.520474,0.674674,0.997295,0.662274,0.6937056772276852,0.712006446696326
classical_07::pitch_shift::-1st,classical_07,classical,pitch_shift,-1.0,0.613616,0.808642,0.998706,0.697808,0.7700012377921478,0.7819981931134095
classical_07::pitch_shift::+1st,classical_07,classical,pitch_shift,1.0,0.60866,0.788862,0.979739,0.702007,0.7606168079940769,0.7715538901449166
classical_07::pitch_shift::+2st,classical_07,classical,pitch_shift,2.0,0.502097,0.669379,0.975721,0.631703,0.6752140210293552,0.6938441591000383
classical_07::pitch_shift::+4st,classical_07,classical,pitch_shift,4.0,0.742213,0.536622,0.967458,0.654416,0.6955622969534009,0.7125262444350858
classical_07::time_stretch::-20pct,classical_07,classical,time_stretch,-20.0,0.988439,0.818068,0.735008,0.739775,0.8130513428668749,0.8186122231417269
classical_07::time_stretch::-10pct,classical_07,classical,time_stretch,-10.0,0.999372,0.892039,0.779972,0.758826,0.8532747794758965,0.8582297805526352
classical_07::time_stretch::-5pct,classical_07,classical,time_stretch,-5.0,0.999394,0.928397,0.79643,0.742898,0.863300635746582,0.8690789936549326
classical_07::time_stretch::+5pct,classical_07,classical,time_stretch,5.0,0.998852,0.8937,0.819091,0.742265,0.8588983164436405,0.863768297438618
classical_07::time_stretch::+10pct,classical_07,classical,time_stretch,10.0,0.997609,0.86524,0.77511,0.709497,0.8304441072067704,0.8368414457085824
classical_07::time_stretch::+20pct,classical_07,classical,time_stretch,20.0,0.994535,0.846588,0.725697,0.726809,0.8166129676799735,0.8231977972965268
classical_07::lowpass::lp8000,classical_07,classical,lowpass,8000.0,1.0,0.887378,0.999931,0.73848,0.8971410635360957,0.9035204856175495
classical_07::lowpass::lp4000,classical_07,classical,lowpass,4000.0,0.999998,0.67577,0.999563,0.746205,0.82923023347576,0.842270821309564
classical_07::lowpass::lp2000,classical_07,classical,lowpass,2000.0,0.999805,0.529654,0.997893,0.685526,0.755287332749112,0.7837202108804429
classical_07::distortion::drv4,classical_07,classical,distortion,4.0,0.999686,0.830664,0.999399,0.732884,0.8778862756121536,0.8850874221883392
classical_07::distortion::drv12,classical_07,classical,distortion,12.0,0.997603,0.688581,0.997957,0.681682,0.8151805889704978,0.8296409621345207
classical_07::distortion::drv32,classical_07,classical,distortion,32.0,0.9914,0.600469,0.995059,0.579242,0.7509585194355205,0.7766616301041807
classical_07::style_swap::swap_cross,classical_07,classical,style_swap,nan,0.561467,0.441637,0.729005,0.65258,0.5761079351652416,0.5868746363999956
classical_07::style_swap::swap_same,classical_07,classical,style_swap,nan,0.900928,0.479527,0.776503,0.634711,0.6628753971878002,0.6822797088294683
classical_08::control::ctrl,classical_08,classical,control,0.0,1.0,0.999999,1.0,0.850615,0.9618195130826457,0.9640575527858395
classical_08::pitch_shift::-4st,classical_08,classical,pitch_shift,-4.0,0.664641,0.515556,0.969442,0.704359,0.6825431039343948,0.7010651460280886
classical_08::pitch_shift::-2st,classical_08,classical,pitch_shift,-2.0,0.587997,0.626644,0.971744,0.705016,0.7040250611855013,0.7173900555277881
classical_08::pitch_shift::-1st,classical_08,classical,pitch_shift,-1.0,0.621717,0.742298,0.973566,0.794787,0.7721911666314766,0.7815393980134799
classical_08::pitch_shift::+1st,classical_08,classical,pitch_shift,1.0,0.638426,0.71491,0.992626,0.807888,0.7747520323310337,0.784796907852523
classical_08::pitch_shift::+2st,classical_08,classical,pitch_shift,2.0,0.581754,0.61961,0.981229,0.766917,0.715900111098883,0.7309845186560442
classical_08::pitch_shift::+4st,classical_08,classical,pitch_shift,4.0,0.644201,0.475109,0.978376,0.785706,0.6804947420037452,0.706024893204758
classical_08::time_stretch::-20pct,classical_08,classical,time_stretch,-20.0,0.992931,0.816711,0.907733,0.828568,0.8782731915270274,0.8809815961169112
classical_08::time_stretch::-10pct,classical_08,classical,time_stretch,-10.0,0.998571,0.876612,0.909192,0.829006,0.8985928886447722,0.9005525769059954
classical_08::time_stretch::-5pct,classical_08,classical,time_stretch,-5.0,0.998955,0.835725,0.933794,0.844979,0.8956294795269942,0.8980585187424106
classical_08::time_stretch::+5pct,classical_08,classical,time_stretch,5.0,0.998499,0.862341,0.945829,0.832922,0.9035182982481348,0.9057946442413154
classical_08::time_stretch::+10pct,classical_08,classical,time_stretch,10.0,0.998927,0.886902,0.931894,0.814033,0.9030412590510135,0.9054039547109439
classical_08::time_stretch::+20pct,classical_08,classical,time_stretch,20.0,0.997634,0.867187,0.913347,0.785418,0.8848939494255141,0.888016405825422
classical_08::lowpass::lp8000,classical_08,classical,lowpass,8000.0,0.999998,0.958808,0.999964,0.852992,0.9504750192764253,0.9523529461370024
