pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_05::time_stretch::-5pct,classical_05,classical,R,time_stretch,-5.0,0.998375,0.920109,0.697140,0.916093
classical_05::time_stretch::+5pct,classical_05,classical,R,time_stretch,5.0,0.997909,0.917585,0.699425,0.906564
classical_05::time_stretch::+10pct,classical_05,classical,R,time_stretch,10.0,0.997040,0.901905,0.634037,0.790895
classical_05::time_stretch::+20pct,classical_05,classical,R,time_stretch,20.0,0.995403,0.882352,0.540177,0.862096
classical_05::lowpass::lp8000,classical_05,classical,T,lowpass,8000.0,0.999994,0.555207,0.997365,0.877184
classical_05::lowpass::lp4000,classical_05,classical,T,lowpass,4000.0,0.999994,0.424309,0.988053,0.748544
classical_05::lowpass::lp2000,classical_05,classical,T,lowpass,2000.0,0.999981,0.420024,0.975184,0.737427
classical_05::distortion::drv4,classical_05,classical,T,distortion,4.0,0.999044,0.611597,0.988815,0.472737
classical_05::distortion::drv12,classical_05,classical,T,distortion,12.0,0.995044,0.453771,0.963500,0.116464
classical_05::distortion::drv32,classical_05,classical,T,distortion,32.0,0.992742,0.462087,0.937098,0.057967
classical_05::style_swap::swap_cross,classical_05,classical,S,style_swap,nan,0.834885,0.443612,0.697140,0.115934
classical_05::style_swap::swap_same,classical_05,classical,S,style_swap,nan,0.942535,0.470888,0.630491,0.200900
classical_06::control::ctrl,classical_06,classical,control,control,0.0,1.000000,1.000000,1.000000,0.419269
classical_06::pitch_shift::-4st,classical_06,classical,H,pitch_shift,-4.0,0.734047,0.709554,0.989257,0.228295
classical_06::pitch_shift::-2st,classical_06,classical,H,pitch_shift,-2.0,0.825350,0.804681,0.991395,0.281366
classical_06::pitch_shift::-1st,classical_06,classical,H,pitch_shift,-1.0,0.741674,0.851268,0.992159,0.224457
classical_06::pitch_shift::+1st,classical_06,classical,H,pitch_shift,1.0,0.777363,0.866080,0.943706,0.327687
classical_06::pitch_shift::+2st,classical_06,classical,H,pitch_shift,2.0,0.852149,0.794743,0.965252,0.193224
classical_06::pitch_shift::+4st,classical_06,classical,H,pitch_shift,4.0,0.760496,0.657445,0.963410,0.293277
classical_06::time_stretch::-20pct,classical_06,classical,R,time_stretch,-20.0,0.988067,0.687602,0.834439,0.206988
classical_06::time_stretch::-10pct,classical_06,classical,R,time_stretch,-10.0,0.993930,0.845693,0.902673,0.390418
classical_06::time_stretch::-5pct,classical_06,classical,R,time_stretch,-5.0,0.997987,0.879530,0.930268,0.465326
classical_06::time_stretch::+5pct,classical_06,classical,R,time_stretch,5.0,0.997436,0.871008,0.929823,0.402329
classical_06::time_stretch::+10pct,classical_06,classical,R,time_stretch,10.0,0.986519,0.892624,0.883941,0.336421
classical_06::time_stretch::+20pct,classical_06,classical,R,time_stretch,20.0,0.985704,0.848804,0.887923,0.283748
classical_06::lowpass::lp8000,classical_06,classical,T,lowpass,8000.0,0.999344,0.847287,0.999466,0.460826
classical_06::lowpass::lp4000,classical_06,classical,T,lowpass,4000.0,0.998589,0.628359,0.997548,0.307305
classical_06::lowpass::lp2000,classical_06,classical,T,lowpass,2000.0,0.999230,0.529815,0.993118,0.117258
classical_06::distortion::drv4,classical_06,classical,T,distortion,4.0,0.999532,0.849352,0.985212,0.294336
classical_06::distortion::drv12,classical_06,classical,T,distortion,12.0,0.994831,0.648839,0.949694,0.066702
classical_06::distortion::drv32,classical_06,classical,T,distortion,32.0,0.989607,0.587683,0.942812,0.015617
classical_06::style_swap::swap_cross,classical_06,classical,S,style_swap,nan,0.860518,0.472724,0.758398,0.021705
classical_06::style_swap::swap_same,classical_06,classical,S,style_swap,nan,0.818979,0.522514,0.856778,0.162520
classical_07::control::ctrl,classical_07,classical,control,control,0.0,1.000000,1.000000,1.000000,0.474590
classical_07::pitch_shift::-4st,classical_07,classical,H,pitch_shift,-4.0,0.757308,0.547150,0.992228,0.152462
classical_07::pitch_shift::-2st,classical_07,classical,H,pitch_shift,-2.0,0.520474,0.674674,0.997295,0.183166
classical_07::pitch_shift::-1st,classical_07,classical,H,pitch_shift,-1.0,0.613616,0.808642,0.998706,0.249868
classical_07::pitch_shift::+1st,classical_07,classical,H,pitch_shift,1.0,0.608660,0.788862,0.979739,0.238221
classical_07::pitch_shift::+2st,classical_07,classical,H,pitch_shift,2.0,0.502097,0.669379,0.975721,0.206458
classical_07::pitch_shift::+4st,classical_07,classical,H,pitch_shift,4.0,0.742213,0.536622,0.967458,0.201694
classical_07::time_stretch::-20pct,classical_07,classical,R,time_stretch,-20.0,0.988439,0.818068,0.735008,0.494177
classical_07::time_stretch::-10pct,classical_07,classical,R,time_stretch,-10.0,0.999372,0.892039,0.779972,0.516675
classical_07::time_stretch::-5pct,classical_07,classical,R,time_stretch,-5.0,0.999394,0.928397,0.796430,0.499206
classical_07::time_stretch::+5pct,classical_07,classical,R,time_stretch,5.0,0.998852,0.893700,0.819091,0.474854
classical_07::time_stretch::+10pct,classical_07,classical,R,time_stretch,10.0,0.997609,0.865240,0.775110,0.426681
classical_07::time_stretch::+20pct,classical_07,classical,R,time_stretch,20.0,0.994535,0.846588,0.725697,0.458708
classical_07::lowpass::lp8000,classical_07,classical,T,lowpass,8000.0,1.000000,0.887378,0.999931,0.473266
classical_07::lowpass::lp4000,classical_07,classical,T,lowpass,4000.0,0.999998,0.675770,0.999563,0.480942
classical_07::lowpass::lp2000,classical_07,classical,T,lowpass,2000.0,0.999805,0.529654,0.997893,0.368978
classical_07::distortion::drv4,classical_07,classical,T,distortion,4.0,0.999686,0.830664,0.999399,0.484119
classical_07::distortion::drv12,classical_07,classical,T,distortion,12.0,0.997603,0.688581,0.997957,0.334039
classical_07::distortion::drv32,classical_07,classical,T,distortion,32.0,0.991400,0.600469,0.995059,0.060349
classical_07::style_swap::swap_cross,classical_07,classical,S,style_swap,nan,0.561467,0.441637,0.729005,0.149947
classical_07::style_swap::swap_same,classical_07,classical,S,style_swap,nan,0.900928,0.479527,0.776503,0.161726
classical_08::control::ctrl,classical_08,classical,control,control,0.0,1.000000,0.999999,1.000000,0.694812
classical_08::pitch_shift::-4st,classical_08,classical,H,pitch_shift,-4.0,0.664641,0.515556,0.969442,0.305453
classical_08::pitch_shift::-2st,classical_08,classical,H,pitch_shift,-2.0,0.587997,0.626644,0.971744,0.283483
classical_08::pitch_shift::-1st,classical_08,classical,H,pitch_shift,-1.0,0.621717,0.742298,0.973566,0.579407
classical_08::pitch_shift::+1st,classical_08,classical,H,pitch_shift,1.0,0.638426,0.714910,0.992626,0.523293
classical_08::pitch_shift::+2st,classical_08,classical,H,pitch_shift,2.0,0.581754,0.619610,0.981229,0.397565
classical_08::pitch_shift::+4st,classical_08,classical,H,pitch_shift,4.0,0.644201,0.475109,0.978376,0.482266
classical_08::time_stretch::-20pct,classical_08,classical,R,time_stretch,-20.0,0.992931,0.816711,0.907733,0.667020
classical_08::time_stretch::-10pct,classical_08,classical,R,time_stretch,-10.0,0.998571,0.876612,0.909192,0.693489
classical_08::time_stretch::-5pct,classical_08,classical,R,time_stretch,-5.0,0.998955,0.835725,0.933794,0.757544
classical_08::time_stretch::+5pct,classical_08,classical,R,time_stretch,5.0,0.998499,0.862341,0.945829,0.651403
classical_08::time_stretch::+10pct,classical_08,classical,R,time_stretch,10.0,0.998927,0.886902,0.931894,0.637904
classical_08::time_stretch::+20pct,classical_08,classical,R,time_stretch,20.0,0.997634,0.867187,0.913347,0.516146
classical_08::lowpass::lp8000,classical_08,classical,T,lowpass,8000.0,0.999998,0.958808,0.999964,0.683960
classical_08::lowpass::lp4000,classical_08,classical,T,lowpass,4000.0,0.999966,0.949259,0.999725,0.705135
classical_08::lowpass::lp2000,classical_08,classical,T,lowpass,2000.0,0.999991,0.464655,0.978766,0.647168
classical_08::distortion::drv4,classical_08,classical,T,distortion,4.0,0.998720,0.573731,0.982074,0.420593
classical_08::distortion::drv12,classical_08,classical,T,distortion,12.0,0.984657,0.414515,0.972304,0.031498
classical_08::distortion::drv32,classical_08,classical,T,distortion,32.0,0.967876,0.408195,0.979024,0.007941
classical_08::style_swap::swap_cross,classical_08,classical,S,style_swap,nan,0.809106,0.416323,0.888815,0.090259
classical_08::style_swap::swap_same,classical_08,classical,S,style_swap,nan,0.809079,0.380344,0.901239,0.124934
classical_09::control::ctrl,classical_09,classical,control,control,0.0,1.000000,1.000000,1.000000,0.699312
classical_09::pitch_shift::-4st,classical_09,classical,H,pitch_shift,-4.0,0.848484,0.621390,0.993900,0.170461
classical_09::pitch_shift::-2st,classical_09,classical,H,pitch_shift,-2.0,0.849070,0.726420,0.998179,0.259132
classical_09::pitch_shift::-1st,classical_09,classical,H,pitch_shift,-1.0,0.806949,0.815983,0.999191,0.258602
classical_09::pitch_shift::+1st,classical_09,classical,H,pitch_shift,1.0,0.799052,0.796756,0.998331,0.262837
classical_09::pitch_shift::+2st,classical_09,classical,H,pitch_shift,2.0,0.834523,0.710134,0.985918,0.291159
classical_09::pitch_shift::+4st,classical_09,classical,H,pitch_shift,4.0,0.827255,0.589200,0.978983,0.217575
classical_09::time_stretch::-20pct,classical_09,classical,R,time_stretch,-20.0,0.990624,0.873693,0.830187,0.615670
classical_09::time_stretch::-10pct,classical_09,classical,R,time_stretch,-10.0,0.995723,0.889188,0.863127,0.715458
classical_09::time_stretch::-5pct,classical_09,classical,R,time_stretch,-5.0,0.998329,0.892037,0.810619,0.784807
classical_09::time_stretch::+5pct,classical_09,classical,R,time_stretch,5.0,0.999145,0.897279,0.883333,0.805717
classical_09::time_stretch::+10pct,classical_09,classical,R,time_stretch,10.0,0.998595,0.891376,0.860268,0.724722
classical_09::time_stretch::+20pct,classical_09,classical,R,time_stretch,20.0,0.995937,0.855297,0.832433,0.803864
classical_09::lowpass::lp8000,classical_09,classical,T,lowpass,8000.0,1.000000,0.849612,0.999888,0.714796
classical_09::lowpass::lp4000,classical_09,classical,T,lowpass,4000.0,0.999999,0.586038,0.988682,0.800688
classical_09::lowpass::lp2000,classical_09,classical,T,lowpass,2000.0,0.999940,0.479378,0.987621,0.594494
classical_09::distortion::drv4,classical_09,classical,T,distortion,4.0,0.999633,0.807796,0.999539,0.534145
classical_09::distortion::drv12,classical_09,classical,T,distortion,12.0,0.996819,0.633971,0.998562,0.382213
classical_09::distortion::drv32,classical_09,classical,T,distortion,32.0,0.991088,0.528820,0.996440,0.105347
classical_09::style_swap::swap_cross,classical_09,classical,S,style_swap,nan,0.897722,0.377306,0.883131,0.004764
classical_09::style_swap::swap_same,classical_09,classical,S,style_swap,nan,0.818171,0.530727,0.816501,0.220752
classical_10::control::ctrl,classical_10,classical,control,control,0.0,1.000000,1.000000,1.000000,0.926284
