pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_09::pitch_shift::-1st,classical_09,classical,H,pitch_shift,-1.0,0.806949,0.815983,0.999191,0.706485
classical_09::pitch_shift::+1st,classical_09,classical,H,pitch_shift,1.0,0.799052,0.796756,0.998331,0.687986
classical_09::pitch_shift::+2st,classical_09,classical,H,pitch_shift,2.0,0.834523,0.710134,0.985918,0.690775
classical_09::pitch_shift::+4st,classical_09,classical,H,pitch_shift,4.0,0.827255,0.589200,0.978983,0.649953
classical_09::time_stretch::-20pct,classical_09,classical,R,time_stretch,-20.0,0.990624,0.873693,0.830187,0.755334
classical_09::time_stretch::-10pct,classical_09,classical,R,time_stretch,-10.0,0.995723,0.889188,0.863127,0.777369
classical_09::time_stretch::-5pct,classical_09,classical,R,time_stretch,-5.0,0.998329,0.892037,0.810619,0.801823
classical_09::time_stretch::+5pct,classical_09,classical,R,time_stretch,5.0,0.999145,0.897279,0.883333,0.824790
classical_09::time_stretch::+10pct,classical_09,classical,R,time_stretch,10.0,0.998595,0.891376,0.860268,0.788904
classical_09::time_stretch::+20pct,classical_09,classical,R,time_stretch,20.0,0.995937,0.855297,0.832433,0.808019
classical_09::lowpass::lp8000,classical_09,classical,T,lowpass,8000.0,1.000000,0.849612,0.999888,0.781847
classical_09::lowpass::lp4000,classical_09,classical,T,lowpass,4000.0,0.999999,0.586038,0.988682,0.815542
classical_09::lowpass::lp2000,classical_09,classical,T,lowpass,2000.0,0.999940,0.479378,0.987621,0.731210
classical_09::distortion::drv4,classical_09,classical,T,distortion,4.0,0.999633,0.807796,0.999539,0.695301
classical_09::distortion::drv12,classical_09,classical,T,distortion,12.0,0.996819,0.633971,0.998562,0.655388
classical_09::distortion::drv32,classical_09,classical,T,distortion,32.0,0.991088,0.528820,0.996440,0.659636
classical_09::style_swap::swap_cross,classical_09,classical,S,style_swap,nan,0.897722,0.377306,0.883131,0.453710
classical_09::style_swap::swap_same,classical_09,classical,S,style_swap,nan,0.818171,0.530727,0.816501,0.532988
classical_10::control::ctrl,classical_10,classical,control,control,0.0,1.000000,1.000000,1.000000,0.847845
classical_10::pitch_shift::-4st,classical_10,classical,H,pitch_shift,-4.0,0.719316,0.613257,0.996571,0.712668
classical_10::pitch_shift::-2st,classical_10,classical,H,pitch_shift,-2.0,0.685240,0.751635,0.999044,0.717236
classical_10::pitch_shift::-1st,classical_10,classical,H,pitch_shift,-1.0,0.599660,0.837629,0.999692,0.722060
classical_10::pitch_shift::+1st,classical_10,classical,H,pitch_shift,1.0,0.596098,0.856862,0.999193,0.713025
classical_10::pitch_shift::+2st,classical_10,classical,H,pitch_shift,2.0,0.662931,0.773538,0.998085,0.747478
classical_10::pitch_shift::+4st,classical_10,classical,H,pitch_shift,4.0,0.728684,0.641817,0.994792,0.713927
classical_10::time_stretch::-20pct,classical_10,classical,R,time_stretch,-20.0,0.988448,0.828432,0.928726,0.817851
classical_10::time_stretch::-10pct,classical_10,classical,R,time_stretch,-10.0,0.994966,0.873206,0.919240,0.813256
classical_10::time_stretch::-5pct,classical_10,classical,R,time_stretch,-5.0,0.998605,0.921652,0.936839,0.822880
classical_10::time_stretch::+5pct,classical_10,classical,R,time_stretch,5.0,0.998265,0.933004,0.936183,0.810532
classical_10::time_stretch::+10pct,classical_10,classical,R,time_stretch,10.0,0.996293,0.897087,0.922251,0.809239
classical_10::time_stretch::+20pct,classical_10,classical,R,time_stretch,20.0,0.993271,0.850048,0.904104,0.805037
classical_10::lowpass::lp8000,classical_10,classical,T,lowpass,8000.0,1.000000,0.870783,0.999954,0.847845
classical_10::lowpass::lp4000,classical_10,classical,T,lowpass,4000.0,0.999993,0.652280,0.999774,0.818312
classical_10::lowpass::lp2000,classical_10,classical,T,lowpass,2000.0,0.999819,0.536521,0.999236,0.778836
classical_10::distortion::drv4,classical_10,classical,T,distortion,4.0,0.999561,0.723807,0.999312,0.790945
classical_10::distortion::drv12,classical_10,classical,T,distortion,12.0,0.994965,0.593012,0.998199,0.698214
classical_10::distortion::drv32,classical_10,classical,T,distortion,32.0,0.986273,0.550736,0.994871,0.627654
classical_10::style_swap::swap_cross,classical_10,classical,S,style_swap,nan,0.647722,0.481486,0.954542,0.613361
classical_10::style_swap::swap_same,classical_10,classical,S,style_swap,nan,0.904747,0.493142,0.904104,0.749234
classical_11::control::ctrl,classical_11,classical,control,control,0.0,1.000000,1.000000,1.000000,0.814832
classical_11::pitch_shift::-4st,classical_11,classical,H,pitch_shift,-4.0,0.642501,0.618023,0.972449,0.693205
classical_11::pitch_shift::-2st,classical_11,classical,H,pitch_shift,-2.0,0.657320,0.682140,0.992606,0.737841
classical_11::pitch_shift::-1st,classical_11,classical,H,pitch_shift,-1.0,0.605818,0.790484,0.993602,0.680746
classical_11::pitch_shift::+1st,classical_11,classical,H,pitch_shift,1.0,0.643472,0.770137,0.976207,0.717246
classical_11::pitch_shift::+2st,classical_11,classical,H,pitch_shift,2.0,0.649417,0.677590,0.958712,0.677674
classical_11::pitch_shift::+4st,classical_11,classical,H,pitch_shift,4.0,0.743976,0.586582,0.957887,0.698332
classical_11::time_stretch::-20pct,classical_11,classical,R,time_stretch,-20.0,0.994939,0.797311,0.855067,0.821871
classical_11::time_stretch::-10pct,classical_11,classical,R,time_stretch,-10.0,0.999227,0.866217,0.878218,0.789547
classical_11::time_stretch::-5pct,classical_11,classical,R,time_stretch,-5.0,0.998653,0.883111,0.877093,0.794920
classical_11::time_stretch::+5pct,classical_11,classical,R,time_stretch,5.0,0.999364,0.868967,0.875962,0.805688
classical_11::time_stretch::+10pct,classical_11,classical,R,time_stretch,10.0,0.999058,0.854528,0.845182,0.793056
classical_11::time_stretch::+20pct,classical_11,classical,R,time_stretch,20.0,0.994512,0.838834,0.813344,0.815709
classical_11::lowpass::lp8000,classical_11,classical,T,lowpass,8000.0,1.000000,0.994813,0.999996,0.810969
classical_11::lowpass::lp4000,classical_11,classical,T,lowpass,4000.0,1.000000,0.824765,0.999765,0.813819
classical_11::lowpass::lp2000,classical_11,classical,T,lowpass,2000.0,0.999993,0.595429,0.980281,0.814310
classical_11::distortion::drv4,classical_11,classical,T,distortion,4.0,0.999950,0.879138,0.981273,0.793296
classical_11::distortion::drv12,classical_11,classical,T,distortion,12.0,0.998640,0.680252,0.978224,0.760774
classical_11::distortion::drv32,classical_11,classical,T,distortion,32.0,0.992478,0.554525,0.975510,0.691308
classical_11::style_swap::swap_cross,classical_11,classical,S,style_swap,nan,0.885847,0.394578,0.790832,0.573354
classical_11::style_swap::swap_same,classical_11,classical,S,style_swap,nan,0.759333,0.423632,0.821256,0.586973
classical_12::control::ctrl,classical_12,classical,control,control,0.0,1.000000,1.000000,1.000000,0.828252
classical_12::pitch_shift::-4st,classical_12,classical,H,pitch_shift,-4.0,0.747931,0.570972,0.978486,0.795541
classical_12::pitch_shift::-2st,classical_12,classical,H,pitch_shift,-2.0,0.756959,0.699857,0.992407,0.811631
