pair_id,source_id,genre,perturbation,magnitude,score_H,score_T,score_R,score_S,C_geo,C_lin
jazz_13::pitch_shift::-1st,jazz_13,jazz,pitch_shift,-1.0,0.965609,0.870787,0.996039,0.889855,0.9291315503972702,0.9305725
jazz_13::pitch_shift::+1st,jazz_13,jazz,pitch_shift,1.0,0.965989,0.889366,0.992753,0.902497,0.936666352810751,0.93765125
jazz_13::pitch_shift::+2st,jazz_13,jazz,pitch_shift,2.0,0.907409,0.812854,0.986246,0.911959,0.902493431117772,0.904617
jazz_13::pitch_shift::+4st,jazz_13,jazz,pitch_shift,4.0,0.840885,0.704617,0.978284,0.902636,0.8504853379080225,0.8566055
jazz_13::time_stretch::-20pct,jazz_13,jazz,time_stretch,-20.0,0.998527,0.848472,0.556853,0.876176,0.8018300183916929,0.820007
jazz_13::time_stretch::-10pct,jazz_13,jazz,time_stretch,-10.0,0.99888,0.879729,0.623756,0.883316,0.8341578955469379,0.84642025
jazz_13::time_stretch::-5pct,jazz_13,jazz,time_stretch,-5.0,0.998961,0.926213,0.71901,0.892187,0.8777332628146363,0.88409275
jazz_13::time_stretch::+5pct,jazz_13,jazz,time_stretch,5.0,0.998978,0.925813,0.684768,0.896514,0.868050382812965,0.87651825
jazz_13::time_stretch::+10pct,jazz_13,jazz,time_stretch,10.0,0.997666,0.89973,0.632258,0.903019,0.8461008838396503,0.8581682500000001
jazz_13::time_stretch::+20pct,jazz_13,jazz,time_stretch,20.0,0.99475,0.871949,0.568804,0.903825,0.817171112876275,0.834832
jazz_13::lowpass::lp8000,jazz_13,jazz,lowpass,8000.0,1.0,0.614482,0.99716,0.920144,0.8665277061074983,0.8829465
jazz_13::lowpass::lp4000,jazz_13,jazz,lowpass,4000.0,1.0,0.541464,0.990086,0.887335,0.8304864093150812,0.85472125
jazz_13::lowpass::lp2000,jazz_13,jazz,lowpass,2000.0,0.999995,0.474856,0.93947,0.850626,0.7848656672809162,0.81623675
jazz_13::distortion::drv4,jazz_13,jazz,distortion,4.0,0.999466,0.794882,0.99447,0.91816,0.9228798963493409,0.9267445
jazz_13::distortion::drv12,jazz_13,jazz,distortion,12.0,0.995084,0.653927,0.978025,0.763696,0.8349584633395252,0.847683
jazz_13::distortion::drv32,jazz_13,jazz,distortion,32.0,0.991993,0.567285,0.955914,0.564704,0.7423990346530102,0.769974
jazz_13::style_swap::swap_cross,jazz_13,jazz,style_swap,nan,0.80875,0.501906,0.514836,0.585862,0.5915278948533299,0.6028384999999999
jazz_13::style_swap::swap_same,jazz_13,jazz,style_swap,nan,0.930396,0.449679,0.595873,0.518592,0.5996357126237084,0.623635
jazz_14::control::ctrl,jazz_14,jazz,control,0.0,1.0,1.0,1.0,0.851425,0.9605867669587095,0.96285625
jazz_14::pitch_shift::-4st,jazz_14,jazz,pitch_shift,-4.0,0.933915,0.590701,0.964245,0.786143,0.8041572857398663,0.818751
jazz_14::pitch_shift::-2st,jazz_14,jazz,pitch_shift,-2.0,0.937529,0.695664,0.971491,0.805457,0.8452133449322706,0.85253525
jazz_14::pitch_shift::-1st,jazz_14,jazz,pitch_shift,-1.0,0.962787,0.821173,0.998017,0.792512,0.8892567414155397,0.89362225
jazz_14::pitch_shift::+1st,jazz_14,jazz,pitch_shift,1.0,0.966039,0.801514,0.971776,0.825113,0.8876593719652506,0.8911104999999999
jazz_14::pitch_shift::+2st,jazz_14,jazz,pitch_shift,2.0,0.949169,0.698654,0.968443,0.812437,0.8498990884231448,0.85717575
jazz_14::pitch_shift::+4st,jazz_14,jazz,pitch_shift,4.0,0.932713,0.58597,0.957434,0.787879,0.8013051716468037,0.815999
jazz_14::time_stretch::-20pct,jazz_14,jazz,time_stretch,-20.0,0.997752,0.858124,0.727825,0.852864,0.8538269366443464,0.85914125
jazz_14::time_stretch::-10pct,jazz_14,jazz,time_stretch,-10.0,0.998975,0.890727,0.779534,0.842808,0.8744112510603517,0.878011
jazz_14::time_stretch::-5pct,jazz_14,jazz,time_stretch,-5.0,0.997459,0.932674,0.818321,0.856533,0.8986139989460264,0.90124675
jazz_14::time_stretch::+5pct,jazz_14,jazz,time_stretch,5.0,0.997984,0.947918,0.71926,0.844261,0.8705911465812505,0.87735575
