pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_04::time_stretch::-10pct,classical_04,classical,R,time_stretch,-10.0,0.999131,0.906359,0.744330,0.772562,0.764506,0.990030,0.869991
classical_04::time_stretch::-5pct,classical_04,classical,R,time_stretch,-5.0,0.999511,0.907233,0.799437,0.776949,0.821200,0.993814,0.903393
classical_04::time_stretch::+5pct,classical_04,classical,R,time_stretch,5.0,0.999458,0.886120,0.663581,0.784653,0.833519,0.988729,0.907813
classical_04::time_stretch::+10pct,classical_04,classical,R,time_stretch,10.0,0.998985,0.880722,0.671884,0.792519,0.791421,0.991159,0.885677
classical_04::time_stretch::+20pct,classical_04,classical,R,time_stretch,20.0,0.998412,0.871281,0.675436,0.753843,0.681123,0.990872,0.821526
classical_04::lowpass::lp8000,classical_04,classical,T,lowpass,8000.0,0.999962,0.494824,0.956801,0.780580,0.998054,0.978933,0.988447
classical_04::lowpass::lp4000,classical_04,classical,T,lowpass,4000.0,0.999988,0.451422,0.946613,0.694652,0.988282,0.915383,0.951134
classical_04::lowpass::lp2000,classical_04,classical,T,lowpass,2000.0,0.999784,0.424381,0.776986,0.695091,0.977938,0.857739,0.915869
classical_04::distortion::drv4,classical_04,classical,T,distortion,4.0,0.998683,0.915623,0.998689,0.760515,0.991497,0.999301,0.995391
classical_04::distortion::drv12,classical_04,classical,T,distortion,12.0,0.999733,0.727059,0.990520,0.740661,0.967685,0.977625,0.972643
classical_04::distortion::drv32,classical_04,classical,T,distortion,32.0,0.997847,0.596923,0.933518,0.657715,0.930909,0.877611,0.903867
classical_04::style_swap::swap_cross,classical_04,classical,S,style_swap,nan,0.718854,0.437217,0.680685,0.598123,0.646583,0.874883,0.752120
classical_04::style_swap::swap_same,classical_04,classical,S,style_swap,nan,0.865958,0.423247,0.690669,0.636853,0.563749,0.899617,0.712150
classical_05::control::ctrl,classical_05,classical,control,control,0.0,1.000000,1.000000,1.000000,0.863103,1.000000,1.000000,1.000000
classical_05::pitch_shift::-4st,classical_05,classical,H,pitch_shift,-4.0,0.826430,0.543608,0.986932,0.696754,0.917373,0.968831,0.942751
classical_05::pitch_shift::-2st,classical_05,classical,H,pitch_shift,-2.0,0.931116,0.681547,0.991416,0.812404,0.938479,0.983984,0.960962
classical_05::pitch_shift::-1st,classical_05,classical,H,pitch_shift,-1.0,0.780394,0.785340,0.993429,0.655161,0.965882,0.984971,0.975380
classical_05::pitch_shift::+1st,classical_05,classical,H,pitch_shift,1.0,0.780385,0.799396,0.991523,0.781985,0.959030,0.984758,0.971809
classical_05::pitch_shift::+2st,classical_05,classical,H,pitch_shift,2.0,0.917132,0.678307,0.986772,0.756069,0.939459,0.981013,0.960011
classical_05::pitch_shift::+4st,classical_05,classical,H,pitch_shift,4.0,0.815830,0.558801,0.972734,0.606838,0.912067,0.978004,0.944460
classical_05::time_stretch::-20pct,classical_05,classical,R,time_stretch,-20.0,0.994855,0.836550,0.518477,0.848184,0.535189,0.987101,0.726833
classical_05::time_stretch::-10pct,classical_05,classical,R,time_stretch,-10.0,0.997507,0.893827,0.612752,0.847492,0.550856,0.992612,0.739450
classical_05::time_stretch::-5pct,classical_05,classical,R,time_stretch,-5.0,0.998375,0.920109,0.697140,0.861150,0.573900,0.992267,0.754627
classical_05::time_stretch::+5pct,classical_05,classical,R,time_stretch,5.0,0.997909,0.917585,0.699425,0.870052,0.597480,0.995582,0.771259
classical_05::time_stretch::+10pct,classical_05,classical,R,time_stretch,10.0,0.997040,0.901905,0.634037,0.846979,0.593254,0.988424,0.765758
classical_05::time_stretch::+20pct,classical_05,classical,R,time_stretch,20.0,0.995403,0.882352,0.540177,0.863696,0.554502,0.970940,0.733750
classical_05::lowpass::lp8000,classical_05,classical,T,lowpass,8000.0,0.999994,0.555207,0.997365,0.864897,0.992119,0.977719,0.984893
classical_05::lowpass::lp4000,classical_05,classical,T,lowpass,4000.0,0.999994,0.424309,0.988053,0.801758,0.976190,0.958748,0.967430
classical_05::lowpass::lp2000,classical_05,classical,T,lowpass,2000.0,0.999981,0.420024,0.975184,0.811394,0.961162,0.942093,0.951579
classical_05::distortion::drv4,classical_05,classical,T,distortion,4.0,0.999044,0.611597,0.988815,0.759743,0.941457,0.961793,0.951570
classical_05::distortion::drv12,classical_05,classical,T,distortion,12.0,0.995044,0.453771,0.963500,0.639261,0.861011,0.920626,0.890319
classical_05::distortion::drv32,classical_05,classical,T,distortion,32.0,0.992742,0.462087,0.937098,0.596926,0.837368,0.880802,0.858810
classical_05::style_swap::swap_cross,classical_05,classical,S,style_swap,nan,0.834885,0.443612,0.697140,0.592101,0.503493,0.695456,0.591741
classical_05::style_swap::swap_same,classical_05,classical,S,style_swap,nan,0.942535,0.470888,0.630491,0.628517,0.591096,0.755347,0.668193
classical_06::control::ctrl,classical_06,classical,control,control,0.0,1.000000,1.000000,1.000000,0.683052,1.000000,1.000000,1.000000
classical_06::pitch_shift::-4st,classical_06,classical,H,pitch_shift,-4.0,0.734047,0.709554,0.989257,0.669314,0.935026,0.980158,0.957326
classical_06::pitch_shift::-2st,classical_06,classical,H,pitch_shift,-2.0,0.825350,0.804681,0.991395,0.685565,0.950746,0.985207,0.967823
classical_06::pitch_shift::-1st,classical_06,classical,H,pitch_shift,-1.0,0.741674,0.851268,0.992159,0.715078,0.965999,0.983258,0.974590
classical_06::pitch_shift::+1st,classical_06,classical,H,pitch_shift,1.0,0.777363,0.866080,0.943706,0.738644,0.955071,0.993361,0.974028
classical_06::pitch_shift::+2st,classical_06,classical,H,pitch_shift,2.0,0.852149,0.794743,0.965252,0.662846,0.939062,0.987261,0.962860
