pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_02::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_02::shuffle::shuf_beat,1.000000,0.996998,0.954028,1.000000,0.200000,0.566607,0.944751,0.543661,0.429079,0.000000,0.862508,0.999965,0.685475,0.636413
folk_02::shuffle::shuf_bar,1.000000,0.999383,0.946984,0.626183,0.000000,0.641267,0.958515,0.620742,0.309112,0.333333,0.968717,0.999996,0.675971,0.614313
folk_02::reverse::rev,1.000000,0.999836,0.937300,0.626183,0.200000,0.641267,0.944751,0.543661,0.326361,0.000000,0.790256,0.999996,0.641696,0.591133
folk_02::displacement::disp_near,1.000000,0.985454,0.948604,1.000000,0.000000,0.641267,0.958515,0.620742,0.337905,0.000000,0.506825,0.996802,0.640024,0.619006
folk_02::displacement::disp_far,0.500000,0.994356,0.922827,1.000000,0.000000,0.641267,0.983409,0.835096,0.327870,0.000000,0.521146,0.997207,0.619425,0.592673
folk_03::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_03::shuffle::shuf_beat,1.000000,0.991148,0.895857,0.139631,0.000000,0.517511,1.000000,1.000000,0.375673,0.111111,0.939358,0.999992,0.642188,0.576728
folk_03::shuffle::shuf_bar,1.000000,0.999675,0.894881,0.671974,0.000000,0.417285,0.985057,0.902341,0.338057,0.777778,0.986260,0.999998,0.724338,0.670588
folk_03::displacement::disp_near,1.000000,0.959924,0.913202,0.407067,0.600000,0.517511,0.971884,0.635547,0.341823,0.000000,0.514353,0.994953,0.624583,0.600514
folk_03::reverse::rev,1.000000,0.999974,0.852224,0.650077,0.200000,0.641945,0.969372,0.834031,0.339972,0.000000,0.784477,0.999999,0.662357,0.616505
folk_03::displacement::disp_far,0.833333,0.983141,0.917044,0.407067,0.000000,0.566607,0.972243,0.475725,0.380951,0.000000,0.680641,0.997179,0.575723,0.524201
folk_04::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_04::shuffle::shuf_beat,1.000000,0.998116,0.877852,0.093829,0.461538,0.533369,0.971608,0.764058,0.310993,0.000000,0.870990,0.999937,0.630351,0.569424
folk_04::shuffle::shuf_bar,0.833333,0.997709,0.887307,1.000000,0.909091,0.579728,1.000000,1.000000,0.378217,0.100000,0.957323,0.999991,0.782012,0.742710
folk_04::reverse::rev,1.000000,0.999999,0.817991,0.055287,0.500000,0.476000,0.985057,0.902341,0.275225,0.200000,0.743686,0.999993,0.634230,0.586858
folk_04::displacement::disp_near,0.833333,0.956041,0.801393,0.540514,0.000000,0.579728,0.985057,0.902341,0.282271,0.100000,0.619396,0.991874,0.595822,0.556760
folk_04::displacement::disp_far,0.333333,0.637633,0.579345,1.000000,0.000000,0.641267,0.985057,0.902341,0.280813,0.000000,0.479084,0.982212,0.480624,0.436789
folk_05::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_05::shuffle::shuf_beat,1.000000,0.999481,0.950111,0.241769,0.133333,0.641267,0.962063,0.000000,0.597233,0.000000,0.841271,0.999995,0.597339,0.532773
folk_05::shuffle::shuf_bar,1.000000,0.999622,0.801340,1.000000,0.909091,0.828598,0.897418,0.000000,0.279295,0.250000,0.885211,0.999999,0.699590,0.651053
folk_05::reverse::rev,1.000000,0.999985,0.712610,0.241769,0.444444,0.641267,0.840154,0.000000,0.301623,0.000000,0.722697,0.999999,0.528197,0.461727
folk_05::displacement::disp_near,1.000000,0.996079,0.981059,0.241769,0.000000,0.566607,0.828762,0.000000,0.560619,0.000000,0.221495,0.984917,0.497854,0.482210
folk_05::displacement::disp_far,1.000000,0.976777,0.829635,0.109171,0.400000,0.566607,0.912033,0.000000,0.270923,0.250000,0.141499,0.986029,0.494557,0.485821
folk_06::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_06::shuffle::shuf_beat,1.000000,0.998914,0.808200,0.603398,0.222222,0.566607,0.924438,0.000000,0.338472,0.000000,0.825533,0.999928,0.573703,0.506022
folk_06::shuffle::shuf_bar,1.000000,0.999986,0.809415,0.782943,0.000000,0.000000,1.000000,1.000000,0.292503,0.818182,0.954620,0.999995,0.694343,0.637778
folk_06::reverse::rev,1.000000,0.999998,0.707586,0.109383,0.222222,0.566607,0.958515,0.620742,0.352459,0.000000,0.804588,0.999997,0.577352,0.512478
folk_06::displacement::disp_near,1.000000,0.972506,0.861207,1.000000,0.000000,0.626695,1.000000,1.000000,0.387606,0.000000,0.334867,0.974381,0.646910,0.654205
folk_06::displacement::disp_far,1.000000,0.945505,0.804812,0.782943,0.750000,0.626695,0.985057,0.902341,0.328383,0.000000,0.399645,0.984920,0.670428,0.671380
folk_07::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_07::shuffle::shuf_beat,1.000000,0.999503,0.938599,1.000000,0.888889,0.566607,0.970132,0.817645,0.406119,0.111111,0.921581,0.999991,0.780527,0.744523
folk_07::shuffle::shuf_bar,1.000000,0.999887,0.974057,0.650077,0.750000,0.720021,0.984676,0.911981,0.458862,0.277778,0.984632,0.999996,0.792691,0.752777
folk_07::reverse::rev,1.000000,0.999997,0.830481,0.650077,0.000000,0.626695,0.937370,0.721074,0.266021,0.111111,0.817200,0.999998,0.630321,0.574771
folk_07::displacement::disp_near,0.500000,0.913303,0.909400,0.067769,0.500000,0.440043,0.970132,0.817645,0.268216,0.000000,0.601836,0.990984,0.542679,0.495137
folk_07::displacement::disp_far,0.500000,0.924860,0.855577,0.156248,0.000000,0.626695,0.972243,0.475725,0.292879,0.000000,0.493226,0.987350,0.483442,0.436539
folk_08::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_08::shuffle::shuf_beat,1.000000,0.999135,0.929937,1.000000,0.400000,0.579728,0.946140,0.452769,0.308303,0.000000,0.896176,0.999976,0.682866,0.629892
folk_08::shuffle::shuf_bar,1.000000,0.999959,0.906144,1.000000,0.461538,0.476000,0.967297,0.630487,0.350873,0.000000,0.963602,0.999997,0.705363,0.650098
folk_08::reverse::rev,1.000000,0.999999,0.872235,1.000000,0.461538,0.476000,0.959560,0.531839,0.331391,0.000000,0.786251,0.999994,0.674345,0.630715
folk_08::displacement::disp_near,1.000000,0.984646,0.921985,1.000000,0.727273,0.566607,0.946140,0.452769,0.285794,0.200000,0.671124,0.998143,0.699776,0.673608
folk_08::displacement::disp_far,1.000000,0.961377,0.910012,1.000000,0.166667,0.579728,1.000000,1.000000,0.348794,0.000000,0.567561,0.989417,0.681649,0.666023
folk_09::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_09::shuffle::shuf_beat,1.000000,0.996297,0.945517,0.025694,0.500000,0.417285,0.956355,0.715561,0.369808,0.333333,0.915885,0.999984,0.657810,0.597839
folk_09::shuffle::shuf_bar,1.000000,0.997839,0.927242,1.000000,0.153846,0.476000,0.947497,0.301132,0.361600,0.500000,0.981279,0.999995,0.695323,0.636273
folk_09::reverse::rev,1.000000,0.996595,0.921094,1.000000,0.166667,0.517511,0.985431,0.889015,0.287852,0.333333,0.760725,0.999995,0.714248,0.681166
folk_09::displacement::disp_near,1.000000,0.997819,0.986052,1.000000,0.000000,0.641945,1.000000,1.000000,0.674851,0.500000,0.780905,0.992186,0.786294,0.768949
folk_09::displacement::disp_far,1.000000,0.996734,0.915692,1.000000,1.000000,0.641945,0.985431,0.889015,0.363501,0.000000,0.759635,0.993494,0.771436,0.752696
