pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S
classical_08::pitch_shift::+1st,classical_08,classical,H,pitch_shift,1.0,0.638413,0.712939,0.992423,0.272961
classical_08::pitch_shift::+2st,classical_08,classical,H,pitch_shift,2.0,0.581312,0.619846,0.981159,0.264982
classical_08::pitch_shift::+4st,classical_08,classical,H,pitch_shift,4.0,0.646051,0.476190,0.978834,0.279129
classical_08::time_stretch::-20pct,classical_08,classical,R,time_stretch,-20.0,0.993109,0.817406,0.907803,0.304366
classical_08::time_stretch::-10pct,classical_08,classical,R,time_stretch,-10.0,0.998668,0.874913,0.909187,0.314006
classical_08::time_stretch::-5pct,classical_08,classical,R,time_stretch,-5.0,0.998693,0.835193,0.933775,0.325995
classical_08::time_stretch::+5pct,classical_08,classical,R,time_stretch,5.0,0.998583,0.864724,0.946350,0.296988
classical_08::time_stretch::+10pct,classical_08,classical,R,time_stretch,10.0,0.998933,0.888601,0.931891,0.304366
classical_08::time_stretch::+20pct,classical_08,classical,R,time_stretch,20.0,0.997636,0.866634,0.908052,0.290986
classical_08::lowpass::lp8000,classical_08,classical,T,lowpass,8000.0,0.999998,0.958807,0.999964,0.295314
classical_08::lowpass::lp4000,classical_08,classical,T,lowpass,4000.0,0.999966,0.949258,0.999725,0.298516
classical_08::lowpass::lp2000,classical_08,classical,T,lowpass,2000.0,0.999991,0.464655,0.978765,0.312578
classical_08::distortion::drv4,classical_08,classical,T,distortion,4.0,0.998720,0.573730,0.982073,0.253073
classical_08::distortion::drv12,classical_08,classical,T,distortion,12.0,0.984657,0.414515,0.972302,0.147417
classical_08::distortion::drv32,classical_08,classical,T,distortion,32.0,0.967876,0.408195,0.979023,0.109587
classical_08::style_swap::swap_cross,classical_08,classical,S,style_swap,nan,0.809106,0.416323,0.888808,0.205307
classical_08::style_swap::swap_same,classical_08,classical,S,style_swap,nan,0.809079,0.380344,0.901233,0.192435
classical_09::control::ctrl,classical_09,classical,control,control,0.0,1.000000,1.000000,1.000000,0.369515
classical_09::pitch_shift::-4st,classical_09,classical,H,pitch_shift,-4.0,0.847713,0.620719,0.993877,0.244819
classical_09::pitch_shift::-2st,classical_09,classical,H,pitch_shift,-2.0,0.849058,0.726510,0.998212,0.262763
classical_09::pitch_shift::-1st,classical_09,classical,H,pitch_shift,-1.0,0.806724,0.815524,0.999183,0.259462
classical_09::pitch_shift::+1st,classical_09,classical,H,pitch_shift,1.0,0.798944,0.796562,0.998335,0.272242
classical_09::pitch_shift::+2st,classical_09,classical,H,pitch_shift,2.0,0.834423,0.709868,0.985911,0.280490
classical_09::pitch_shift::+4st,classical_09,classical,H,pitch_shift,4.0,0.827298,0.589129,0.978968,0.267395
classical_09::time_stretch::-20pct,classical_09,classical,R,time_stretch,-20.0,0.990638,0.873388,0.830196,0.358137
classical_09::time_stretch::-10pct,classical_09,classical,R,time_stretch,-10.0,0.995782,0.889421,0.863167,0.386370
classical_09::time_stretch::-5pct,classical_09,classical,R,time_stretch,-5.0,0.998330,0.891746,0.810619,0.386481
classical_09::time_stretch::+5pct,classical_09,classical,R,time_stretch,5.0,0.999149,0.896342,0.883323,0.365295
classical_09::time_stretch::+10pct,classical_09,classical,R,time_stretch,10.0,0.998608,0.891156,0.860268,0.369177
classical_09::time_stretch::+20pct,classical_09,classical,R,time_stretch,20.0,0.995915,0.855669,0.832581,0.390230
classical_09::lowpass::lp8000,classical_09,classical,T,lowpass,8000.0,1.000000,0.849612,0.999888,0.375802
classical_09::lowpass::lp4000,classical_09,classical,T,lowpass,4000.0,0.999999,0.586038,0.988682,0.373141
classical_09::lowpass::lp2000,classical_09,classical,T,lowpass,2000.0,0.999940,0.479378,0.987621,0.376109
classical_09::distortion::drv4,classical_09,classical,T,distortion,4.0,0.999633,0.807796,0.999539,0.374944
classical_09::distortion::drv12,classical_09,classical,T,distortion,12.0,0.996819,0.633971,0.998562,0.322474
classical_09::distortion::drv32,classical_09,classical,T,distortion,32.0,0.991088,0.528820,0.996440,0.168356
classical_09::style_swap::swap_cross,classical_09,classical,S,style_swap,nan,0.897722,0.377306,0.883131,0.082149
classical_09::style_swap::swap_same,classical_09,classical,S,style_swap,nan,0.818171,0.530727,0.816501,0.290337
classical_10::control::ctrl,classical_10,classical,control,control,0.0,1.000000,1.000000,1.000000,0.440746
classical_10::pitch_shift::-4st,classical_10,classical,H,pitch_shift,-4.0,0.719206,0.613163,0.996574,0.267579
classical_10::pitch_shift::-2st,classical_10,classical,H,pitch_shift,-2.0,0.685272,0.751577,0.999045,0.288148
classical_10::pitch_shift::-1st,classical_10,classical,H,pitch_shift,-1.0,0.599706,0.837534,0.999695,0.298845
classical_10::pitch_shift::+1st,classical_10,classical,H,pitch_shift,1.0,0.594883,0.857373,0.999183,0.312286
classical_10::pitch_shift::+2st,classical_10,classical,H,pitch_shift,2.0,0.662733,0.773572,0.998030,0.379215
classical_10::pitch_shift::+4st,classical_10,classical,H,pitch_shift,4.0,0.728674,0.641806,0.994788,0.314773
classical_10::time_stretch::-20pct,classical_10,classical,R,time_stretch,-20.0,0.988434,0.828269,0.928726,0.440391
