pair_id,source_id,genre,perturbation,magnitude,magnitude_unit,cocola,cocola_h,cocola_p
jazz_13::distortion::drv4,jazz_13,jazz,distortion,4.0,tanh_drive,72.00877380371094,71.77687072753906,70.68560791015625
jazz_13::distortion::drv12,jazz_13,jazz,distortion,12.0,tanh_drive,71.92728424072266,71.42237854003906,69.96631622314453
jazz_13::distortion::drv32,jazz_13,jazz,distortion,32.0,tanh_drive,71.58025360107422,70.59230041503906,69.17778015136719
jazz_13::style_swap::swap_cross,jazz_13,jazz,style_swap,nan,cross_genre,60.8075065612793,57.41204071044922,56.06182861328125
jazz_13::style_swap::swap_same,jazz_13,jazz,style_swap,nan,same_genre,64.2032699584961,62.303924560546875,61.57628631591797
jazz_14::control::ctrl,jazz_14,jazz,control,0.0,none,76.37006378173828,70.82254028320312,73.89877319335938
jazz_14::pitch_shift::-4st,jazz_14,jazz,pitch_shift,-4.0,semitones,68.79550170898438,68.58084869384766,70.23029327392578
jazz_14::pitch_shift::-2st,jazz_14,jazz,pitch_shift,-2.0,semitones,69.65068054199219,67.86192321777344,70.08771514892578
jazz_14::pitch_shift::-1st,jazz_14,jazz,pitch_shift,-1.0,semitones,62.20344543457031,60.82423782348633,66.69367218017578
jazz_14::pitch_shift::+1st,jazz_14,jazz,pitch_shift,1.0,semitones,61.294734954833984,61.793399810791016,60.978397369384766
jazz_14::pitch_shift::+2st,jazz_14,jazz,pitch_shift,2.0,semitones,65.25433349609375,63.59473419189453,65.12606811523438
jazz_14::pitch_shift::+4st,jazz_14,jazz,pitch_shift,4.0,semitones,66.05097961425781,66.35465240478516,65.11808013916016
jazz_14::time_stretch::-20pct,jazz_14,jazz,time_stretch,-20.0,percent_tempo,62.75354766845703,66.41494750976562,58.4236946105957
jazz_14::time_stretch::-10pct,jazz_14,jazz,time_stretch,-10.0,percent_tempo,54.82212829589844,55.79062271118164,51.976932525634766
jazz_14::time_stretch::-5pct,jazz_14,jazz,time_stretch,-5.0,percent_tempo,64.14181518554688,63.09668731689453,59.127220153808594
jazz_14::time_stretch::+5pct,jazz_14,jazz,time_stretch,5.0,percent_tempo,64.45938110351562,67.76513671875,60.496315002441406
jazz_14::time_stretch::+10pct,jazz_14,jazz,time_stretch,10.0,percent_tempo,52.97224044799805,54.15397644042969,50.9429817199707
jazz_14::time_stretch::+20pct,jazz_14,jazz,time_stretch,20.0,percent_tempo,57.92710876464844,61.429595947265625,53.721134185791016
jazz_14::lowpass::lp8000,jazz_14,jazz,lowpass,8000.0,hz_cutoff,76.40454864501953,70.9600830078125,74.01315307617188
jazz_14::lowpass::lp4000,jazz_14,jazz,lowpass,4000.0,hz_cutoff,76.14015197753906,73.04994201660156,75.46224212646484
jazz_14::lowpass::lp2000,jazz_14,jazz,lowpass,2000.0,hz_cutoff,76.47465515136719,77.24418640136719,76.23844909667969
jazz_14::distortion::drv4,jazz_14,jazz,distortion,4.0,tanh_drive,76.62261199951172,73.95670318603516,72.77522277832031
jazz_14::distortion::drv12,jazz_14,jazz,distortion,12.0,tanh_drive,74.80077362060547,74.24979400634766,74.59376525878906
jazz_14::distortion::drv32,jazz_14,jazz,distortion,32.0,tanh_drive,72.42849731445312,76.53846740722656,71.60355377197266
jazz_14::style_swap::swap_cross,jazz_14,jazz,style_swap,nan,cross_genre,67.81287384033203,71.90106964111328,68.50886535644531
jazz_14::style_swap::swap_same,jazz_14,jazz,style_swap,nan,same_genre,49.37847137451172,54.8668098449707,49.594383239746094
jazz_15::control::ctrl,jazz_15,jazz,control,0.0,none,59.13203048706055,60.976722717285156,64.43585968017578
jazz_15::pitch_shift::-4st,jazz_15,jazz,pitch_shift,-4.0,semitones,48.92707443237305,53.90327072143555,53.53157424926758
jazz_15::pitch_shift::-2st,jazz_15,jazz,pitch_shift,-2.0,semitones,54.962974548339844,55.72598648071289,59.40919876098633
jazz_15::pitch_shift::-1st,jazz_15,jazz,pitch_shift,-1.0,semitones,47.543704986572266,50.38467025756836,51.57480239868164
jazz_15::pitch_shift::+1st,jazz_15,jazz,pitch_shift,1.0,semitones,48.83859634399414,51.4218635559082,50.84043884277344
jazz_15::pitch_shift::+2st,jazz_15,jazz,pitch_shift,2.0,semitones,53.643131256103516,57.86649703979492,53.157413482666016
jazz_15::pitch_shift::+4st,jazz_15,jazz,pitch_shift,4.0,semitones,49.826576232910156,49.004695892333984,53.05513381958008
jazz_15::time_stretch::-20pct,jazz_15,jazz,time_stretch,-20.0,percent_tempo,54.65620422363281,54.635616302490234,60.05934143066406
jazz_15::time_stretch::-10pct,jazz_15,jazz,time_stretch,-10.0,percent_tempo,52.52487564086914,54.30236053466797,56.66569900512695
jazz_15::time_stretch::-5pct,jazz_15,jazz,time_stretch,-5.0,percent_tempo,48.26555252075195,54.55690383911133,53.61714553833008
jazz_15::time_stretch::+5pct,jazz_15,jazz,time_stretch,5.0,percent_tempo,57.97211456298828,59.219261169433594,63.197914123535156
jazz_15::time_stretch::+10pct,jazz_15,jazz,time_stretch,10.0,percent_tempo,48.64291763305664,48.7741584777832,53.823551177978516
jazz_15::time_stretch::+20pct,jazz_15,jazz,time_stretch,20.0,percent_tempo,51.70663070678711,50.343238830566406,56.40312957763672
jazz_15::lowpass::lp8000,jazz_15,jazz,lowpass,8000.0,hz_cutoff,59.12987518310547,61.00226593017578,64.43740844726562
jazz_15::lowpass::lp4000,jazz_15,jazz,lowpass,4000.0,hz_cutoff,59.200565338134766,61.0988655090332,64.47006225585938
jazz_15::lowpass::lp2000,jazz_15,jazz,lowpass,2000.0,hz_cutoff,58.80821990966797,60.68312454223633,63.583919525146484
jazz_15::distortion::drv4,jazz_15,jazz,distortion,4.0,tanh_drive,58.80942916870117,60.921287536621094,64.22312927246094
jazz_15::distortion::drv12,jazz_15,jazz,distortion,12.0,tanh_drive,58.15357971191406,59.854026794433594,62.6864013671875
jazz_15::distortion::drv32,jazz_15,jazz,distortion,32.0,tanh_drive,57.03929138183594,57.3460693359375,62.37754821777344
jazz_15::style_swap::swap_cross,jazz_15,jazz,style_swap,nan,cross_genre,49.72182083129883,51.03412628173828,53.56990051269531
jazz_15::style_swap::swap_same,jazz_15,jazz,style_swap,nan,same_genre,39.785194396972656,40.957706451416016,44.719818115234375
rock_01::control::ctrl,rock_01,rock,control,0.0,none,69.53083801269531,67.88385772705078,70.88626098632812
rock_01::pitch_shift::-4st,rock_01,rock,pitch_shift,-4.0,semitones,59.78358840942383,59.06212615966797,63.503971099853516
rock_01::pitch_shift::-2st,rock_01,rock,pitch_shift,-2.0,semitones,67.1421127319336,65.25625610351562,69.02268981933594
rock_01::pitch_shift::-1st,rock_01,rock,pitch_shift,-1.0,semitones,61.427940368652344,60.96287155151367,64.66063690185547
rock_01::pitch_shift::+1st,rock_01,rock,pitch_shift,1.0,semitones,65.2955093383789,63.52778625488281,69.28528594970703
rock_01::pitch_shift::+2st,rock_01,rock,pitch_shift,2.0,semitones,66.12782287597656,64.69905853271484,68.6598892211914
rock_01::pitch_shift::+4st,rock_01,rock,pitch_shift,4.0,semitones,62.96875762939453,60.55546951293945,67.9654541015625
rock_01::time_stretch::-20pct,rock_01,rock,time_stretch,-20.0,percent_tempo,59.837562561035156,59.9831657409668,62.95310974121094
rock_01::time_stretch::-10pct,rock_01,rock,time_stretch,-10.0,percent_tempo,50.91920852661133,49.98236083984375,53.4939079284668
rock_01::time_stretch::-5pct,rock_01,rock,time_stretch,-5.0,percent_tempo,59.134117126464844,55.62533187866211,61.66783905029297
rock_01::time_stretch::+5pct,rock_01,rock,time_stretch,5.0,percent_tempo,62.433963775634766,64.27429962158203,61.00847625732422
rock_01::time_stretch::+10pct,rock_01,rock,time_stretch,10.0,percent_tempo,49.307044982910156,48.40132522583008,53.120365142822266
rock_01::time_stretch::+20pct,rock_01,rock,time_stretch,20.0,percent_tempo,48.65451431274414,48.445945739746094,50.30613327026367
rock_01::lowpass::lp8000,rock_01,rock,lowpass,8000.0,hz_cutoff,69.53179931640625,68.2872543334961,70.76283264160156
rock_01::lowpass::lp4000,rock_01,rock,lowpass,4000.0,hz_cutoff,76.18311309814453,73.51678466796875,75.95647430419922
rock_01::lowpass::lp2000,rock_01,rock,lowpass,2000.0,hz_cutoff,75.50785827636719,73.28086853027344,75.39423370361328
rock_01::distortion::drv4,rock_01,rock,distortion,4.0,tanh_drive,73.89820861816406,71.55188751220703,75.19828033447266
rock_01::distortion::drv12,rock_01,rock,distortion,12.0,tanh_drive,71.18622589111328,71.7431869506836,73.6822738647461
rock_01::distortion::drv32,rock_01,rock,distortion,32.0,tanh_drive,68.95509338378906,67.65800476074219,70.43511962890625
rock_01::style_swap::swap_cross,rock_01,rock,style_swap,nan,cross_genre,63.55179214477539,61.247406005859375,69.0802001953125
rock_01::style_swap::swap_same,rock_01,rock,style_swap,nan,same_genre,55.455780029296875,60.678314208984375,59.20758056640625
rock_02::control::ctrl,rock_02,rock,control,0.0,none,70.78377532958984,72.48001098632812,75.71776580810547
rock_02::pitch_shift::-4st,rock_02,rock,pitch_shift,-4.0,semitones,66.51795959472656,62.778465270996094,70.48011016845703
rock_02::pitch_shift::-2st,rock_02,rock,pitch_shift,-2.0,semitones,70.32666015625,69.94972229003906,74.88462829589844
rock_02::pitch_shift::-1st,rock_02,rock,pitch_shift,-1.0,semitones,67.48908233642578,67.57637023925781,72.33504486083984
rock_02::pitch_shift::+1st,rock_02,rock,pitch_shift,1.0,semitones,68.50570678710938,68.62934112548828,72.38529205322266
rock_02::pitch_shift::+2st,rock_02,rock,pitch_shift,2.0,semitones,69.7455062866211,68.9401626586914,74.47351837158203
rock_02::pitch_shift::+4st,rock_02,rock,pitch_shift,4.0,semitones,68.92221069335938,68.17626953125,70.72257995605469
rock_02::time_stretch::-20pct,rock_02,rock,time_stretch,-20.0,percent_tempo,40.56774139404297,47.52941131591797,44.649681091308594
rock_02::time_stretch::-10pct,rock_02,rock,time_stretch,-10.0,percent_tempo,53.97945022583008,54.97635269165039,55.50743103027344
rock_02::time_stretch::-5pct,rock_02,rock,time_stretch,-5.0,percent_tempo,64.60735321044922,63.597896575927734,68.848388671875
rock_02::time_stretch::+5pct,rock_02,rock,time_stretch,5.0,percent_tempo,56.54347229003906,58.49551773071289,60.4448127746582
rock_02::time_stretch::+10pct,rock_02,rock,time_stretch,10.0,percent_tempo,54.14104080200195,55.432647705078125,57.1922607421875
rock_02::time_stretch::+20pct,rock_02,rock,time_stretch,20.0,percent_tempo,46.32195281982422,49.302215576171875,49.93831253051758
rock_02::lowpass::lp8000,rock_02,rock,lowpass,8000.0,hz_cutoff,70.77853393554688,72.4819564819336,75.69385528564453
rock_02::lowpass::lp4000,rock_02,rock,lowpass,4000.0,hz_cutoff,70.83283233642578,72.55657958984375,75.82353973388672
rock_02::lowpass::lp2000,rock_02,rock,lowpass,2000.0,hz_cutoff,69.51425170898438,71.01960754394531,75.18140411376953
rock_02::distortion::drv4,rock_02,rock,distortion,4.0,tanh_drive,70.5718002319336,71.3085708618164,75.61434173583984
rock_02::distortion::drv12,rock_02,rock,distortion,12.0,tanh_drive,69.81367492675781,68.52255249023438,73.36795043945312
